M3HH,20200622,217,217,217,217,346800
M3HI,20200622,1,1,1,1,7200
M3HJ,20200622,0.01,0.01,0.01,0.01,2800
M3HK,20200622,6,6,6,6,7100
M3HL,20200622,76,76,76,76,294900
M3HM,20200622,0.01,0.01,0.01,0.01,3300
M3HN,20200622,69,69,69,69,189900
M3HO,20200622,7,7,7,7,10000
M3HP,20200622,17,17,17,17,49800
M3HQ,20200622,210,210,210,210,260400
M3HR,20200622,0.01,0.01,0.01,0.01,3100
M3HS,20200622,4,4,4,4,6100
M3HT,20200622,0.01,0.01,0.01,0.01,2600
M3HU,20200622,37,37,37,37,250500
M3HV,20200622,256,256,256,256,391200
M3HW,20200622,3,3,3,3,2600
M3HX,20200622,293,293,293,293,468900
M3HY,20200622,3,3,3,3,6300
M3HZ,20200622,143,143,143,143,282400
M3LA,20200622,0.01,0.01,0.01,0.01,18600
M3LB,20200622,0.01,0.01,0.01,0.01,2800
M3LC,20200622,10,10,10,10,192500
M3LE,20200622,13,13,13,13,185400
M3LF,20200622,0.01,0.01,0.01,0.01,6000
M3LG,20200622,0.01,0.01,0.01,0.01,98200
M3LH,20200622,4,4,4,4,346800
M3LI,20200622,0.01,0.01,0.01,0.01,7200
M3LJ,20200622,0.01,0.01,0.01,0.01,2800
M3LK,20200622,0.01,0.01,0.01,0.01,7100
M3LL,20200622,14,14,14,14,294900
M3LM,20200622,0.01,0.01,0.01,0.01,3300
M3LN,20200622,10,10,10,10,189900
M3LO,20200622,0.01,0.01,0.01,0.01,10000
M3LP,20200622,0.01,0.01,0.01,0.01,49800
M3LQ,20200622,8,8,8,8,260400
M3LR,20200622,0.01,0.01,0.01,0.01,3100
M3LS,20200622,0.01,0.01,0.01,0.01,6100
M3LT,20200622,0.01,0.01,0.01,0.01,2600
M3LU,20200622,4,4,4,4,250500
M3LV,20200622,14,14,14,14,391200
M3LW,20200622,0.01,0.01,0.01,0.01,2600
